state,state_heuristic,first_mover_opt_move,second_mover_opt_move
"(1, -1, -1, 1, 1, 0, -1, 0, 0)",4.233126658409643e-07,"[5, 8]",[7]
"(1, -1, -1, 1, 1, 1, 0, -1, 0)",2.0907515812876897e-07,,
"(1, -1, -1, 1, 1, 0, 1, -1, 0)",2.0907515812876897e-07,,
"(1, -1, -1, 1, 1, 0, 0, -1, 1)",2.0907515812876897e-07,,
"(1, -1, -1, 1, 1, 0, 0, -1, 0)",6.272254743863069e-07,"[5, 6, 8]","[5, 6, 8]"
"(1, -1, -1, 1, 1, 1, 0, 0, -1)",2.0907515812876897e-07,,
"(1, -1, -1, 1, 1, 0, 1, 0, -1)",2.0907515812876897e-07,,
"(1, -1, -1, 1, 1, 0, 0, 1, -1)",-2.0649398333705576e-08,[6],[5]
"(1, -1, -1, 1, 1, 0, 0, 0, -1)",3.9750091792383236e-07,"[5, 6]",[7]
"(1, -1, -1, 1, 1, 0, 0, 0, 0)",1.845539976074936e-06,[7],"[5, 8]"
"(1, -1, -1, 1, -1, 1, 1, 0, 0)",2.0907515812876897e-07,,
"(1, -1, -1, 1, -1, 1, -1, 1, 0)",-2.3230573125418773e-08,,
"(1, -1, -1, 1, -1, 1, 1, 1, -1)",2.581174791713197e-09,,
"(1, -1, -1, 1, -1, 1, 0, 1, -1)",2.581174791713197e-09,[6],[6]
"(1, -1, -1, 1, -1, 1, 0, 1, 0)",-2.0649398333705576e-08,[8],[6]
"(1, -1, -1, 1, -1, 1, -1, 0, 1)",-2.3230573125418773e-08,,
"(1, -1, -1, 1, -1, 1, 0, -1, 1)",-2.3230573125418773e-08,,
"(1, -1, -1, 1, -1, 1, 0, 0, 1)",-4.6461146250837546e-08,"[6, 7]","[6, 7]"
"(1, -1, -1, 1, -1, 1, 0, 0, 0)",1.4196461354422586e-07,[6],[8]
"(1, -1, -1, 1, 0, 1, -1, 1, -1)",2.581174791713197e-09,[4],[4]
"(1, -1, -1, 1, 0, 1, -1, 1, 0)",-2.0649398333705576e-08,[8],[4]
"(1, -1, -1, 1, 1, 1, -1, -1, 1)",2.581174791713197e-09,,
"(1, -1, -1, 1, 0, 1, -1, -1, 1)",2.581174791713197e-09,[4],[4]
"(1, -1, -1, 1, 0, 1, -1, 0, 1)",-2.0649398333705576e-08,[7],[4]
"(1, -1, -1, 1, 0, 1, -1, 0, 0)",1.6777636146135782e-07,[4],"[7, 8]"
"(1, -1, -1, 1, 0, 1, 1, -1, 0)",2.0907515812876897e-07,,
"(1, -1, -1, 1, 0, 1, 0, -1, 1)",-2.0649398333705576e-08,[6],[4]
"(1, -1, -1, 1, 0, 1, 0, -1, 0)",3.9750091792383236e-07,"[4, 6]",[8]
"(1, -1, -1, 1, 0, 1, 1, 0, -1)",2.0907515812876897e-07,,
"(1, -1, -1, 1, 0, 1, 0, 1, -1)",5.162349583426394e-09,"[4, 6]","[4, 6]"
"(1, -1, -1, 1, 0, 1, 0, 0, -1)",4.2331266584096436e-07,"[4, 6]",[7]
"(1, -1, -1, 1, 0, 1, 0, 0, 0)",1.1305545587703804e-06,[8],[4]
"(1, -1, -1, 1, 0, 0, 1, 0, 0)",1.6935087808430286e-05,,
"(1, -1, -1, 1, -1, 0, 1, 1, 0)",2.0907515812876897e-07,,
"(1, -1, -1, 1, -1, -1, 1, 1, 1)",2.581174791713197e-09,,
"(1, -1, -1, 1, -1, -1, 0, 1, 1)",2.581174791713197e-09,[6],[6]
"(1, -1, -1, 1, -1, 0, -1, 1, 1)",-2.3230573125418773e-08,,
"(1, -1, -1, 1, -1, 0, 0, 1, 1)",-2.0649398333705576e-08,[5],[6]
"(1, -1, -1, 1, -1, 0, 0, 1, 0)",1.6777636146135782e-07,[6],"[5, 8]"
"(1, -1, -1, 1, 0, -1, 1, 1, 0)",2.0907515812876897e-07,,
"(1, -1, -1, 1, 0, -1, -1, 1, 1)",2.581174791713197e-09,[4],[4]
